Year / Era,Main Title (Cleaned),Battle / Event,Views,Hook / Short Title,Thumbnail Description,Publish Date
1215-1217,The Outlaw Who Saved England in the First Barons' War 1215-1217,First Barons' War,37000,The Real Robin Hood,Archer in green hood with forest background and medieval text styling,7 days ago
Medieval,How to Defeat the English (English Tactics in the Hundred Years' War—and How to Counter Them),Hundred Years' War,137000,Counter English Tactics,Diagram showing Anglo-Norman knights with stages & traps notation,13 days ago
Medieval,When Castles Were Besieged Did Medieval Armies Attack Peasants Too,Medieval Sieges,115000,Peasants During Sieges,Armored peasant with castle burning in background,3 weeks ago
Medieval,How Hard Was It to Supply Arrows to Archers in Battles,Medieval Arrow Supply,355000,The Medieval Arrow Supply Chain,Archer with supply cart and arrows,1 month ago
Late Sengoku,How to Lay Siege to a Samurai Castle in the Late Sengoku Period,Samurai Castle Siege,229000,How to Lay Siege to a Samurai Castle,Isometric fortress diagram with Japanese warrior,1 month ago
1758,1758: The Year the French Empire Collapsed in North America,Seven Years' War,96000,New France 1758,Map showing French territories in North America with soldiers,2 months ago
1579,Resistance to the Bitter End: The (Staggering) Siege of Maastricht in 1579,Siege of Maastricht,107000,Maastricht 1579,Illustration of siege with soldier and fortification,4 months ago
1629,Habsburg Catastrophe: The (Staggering) Siege of Mantua 1629,Siege of Mantua,96000,Mantua 1629,Map illustration showing fortress city layout,4 months ago
1757,The Siege of Fort William Henry (1757),Siege of Fort William Henry,289000,Fort William Henry 1757,Overhead view of fort with Native American warrior,5 months ago
Early Modern,A Production Line of Death: How Volley Fire Changed the Face of Battle (and Where it Originated),Volley Fire Tactics,201000,Volley Fire,Soldiers in formation firing muskets with smoke,5 months ago
1573-1574,Flooding for Freedom: The (Staggering) Siege of Leiden 1573/4,Siege of Leiden,187000,Holland Under Water,Map showing flooded areas with soldier,5 months ago
480 BC,300 Spartans at Thermopylae: Between Reality Myth and Propaganda,Battle of Thermopylae,56000,300 Spartans at Thermopylae,Spartan warrior with text overlay,5 months ago
1777,The Siege of Fort Stanwix 1777,Siege of Fort Stanwix,168000,Fort Stanwix 1777,Colonial soldier at fort illustration,6 months ago
1572-1573,The Fall of Holland: The (Staggering) Siege of Haarlem 1572/73,Siege of Haarlem,91000,Fall of Holland,Map with Dutch fortification and soldier,7 months ago
Ancient,How to Catch a War Elephant,War Elephant Tactics,49000,How to Catch a War Elephant,Illustration showing war elephant capture techniques,7 months ago
52 BC,The Battle of Alesia in the Context of Caesar's 29 Other Well-Documented Sieges,Battle of Alesia,98000,Caesar's Siegecraft,Roman soldier with fortification diagram,8 months ago
Age of Sail,How Sailors Went to the Loo in the Age of Sail,Naval History,2200000,Shitting on Ships,Humorous illustration of sailor on ship,8 months ago
1000-1500 AD,Tactical Defense vs Strategic Offense: How to Win a Battle in the Middle Ages (1000–1500 AD),Medieval Tactics,452000,How to Win a Medieval Battle,Medieval soldiers in tactical formation,8 months ago
Medieval,Crossbow vs. Longbow: Which Was the Superior Weapon in Medieval Sieges,Medieval Weapons,205000,Crossbow vs. Longbow,Comparison illustration of medieval siege weapons,9 months ago
1781,The Decisive Siege of the American Revolutionary War: The (Staggering) Siege of Yorktown 1781,Siege of Yorktown,340000,Yorktown 1781,Colonial soldiers and fortress map,9 months ago
Early Modern,What Motivated Soldiers to Be the First to Charge into a Breach,Military Psychology,124000,Forlorn Hope,Soldiers charging toward fortress breach,9 months ago
1812,The Decisive Siege in the Peninsular War: The (Staggering) Siege of Badajoz 1812,Siege of Badajoz,109000,Badajoz 1812,Napoleonic soldiers at fortress,10 months ago
1779-1783,The European Siege That Decided American Independence: The (Great) Siege of Gibraltar 1779–1783,Siege of Gibraltar,565000,Gibraltar Siege,Gibraltar fortress under siege illustration,1 year ago
18th-19th Century,How to Lay Siege to a Polygonal Fortress in the 18th and 19th Centuries,Polygonal Fortress Siege,606000,Polygonal Fortress,Geometric fortress diagram with soldier,1 year ago
Ancient Greece,4 Ways Women Took Part in Sieges in Ancient Greece (and sometimes even decided them),Women in Ancient Warfare,58000,Women in Sieges,Illustration of women defending siege walls,1 year ago
17th Century,Bringing in the Big Guns: How Western Artillery Transformed Chinese Warfare in the 17th Century,Chinese Artillery Revolution,236000,European Artillery Chinese Artillery,Split comparison of European and Chinese artillery,1 year ago
Early Modern,The Russian Alternative to Pike and Shot Warfare: Guliai-Gorod (Wandering Town),Russian Warfare,552000,West vs East,Comparison of Russian and Western military formations,1 year ago
Medieval,What Motivated Soldiers to Be the First to Climb the Siege Ladder,Military Psychology,5900000,First on the Wall,Soldiers climbing siege ladder illustration,1 year ago
Renaissance,The Golden Age of the Condottieri: The Powerhouse of the Renaissance Mercenary Market,Condottieri Mercenaries,142000,Condottieri,Renaissance mercenary soldiers illustration,1 year ago
Ancient Greece,The Hoplite Revolution Debate (feat. 22 Students from the University of Zurich),Hoplite Warfare,93000,Hoplite Heresy History needs Revisionism,Hoplite warrior with text overlay,1 year ago
Medieval,How Medieval Monasteries Waged War (feat. Baden State Museum),Medieval Monasteries,220000,Monasteries at War,Medieval monastery under siege illustration,1 year ago
550-330 BC,Warfare in Ancient Persia 550 BC–330 BC,Persian Warfare,248000,Ancient Persia 550-330 BC,Persian warrior illustration,1 year ago
1661-1662,When the Chinese Besieged a Dutch Star Fortress – The (Staggering) Siege of Zeelandia 1661/62,Siege of Zeelandia,1000000,Chinese Besieged Dutch Star Fortress,Star fortress diagram with text overlay,1 year ago
Ancient,Searching for the First Private Armies in History (feat. Prof. Morillo),Private Armies,65000,The First Armies,Ancient soldiers illustration with text styling,1 year ago
1686,Eastern vs Western Siegecraft: When the Chinese Besieged a Russian Star Fortress in 1686,Siege of Albazin,4900000,China vs Europe,Comparison map showing Chinese and European fortress,1 year ago
Medieval,England's Most Renowned Free Company,Medieval Mercenaries,369000,White Company,Medieval English mercenary soldiers,1 year ago
